OBJECT_NAME,NORAD_CAT_ID
OPS 3722 DEB,761
SL-7 DEB,762
SL-7 DEB,763
OPS 3435,764
ATLAS AGENA D R/B,765
COSMOS 26,766
SL-7 R/B,767
SL-7 DEB,768
SL-7 DEB,769
SL-6 R/B,770
ARIEL 2 (UK-2),771
COSMOS 27,772
SL-6 DEB,773
SL-6 DEB,774
SCOUT X-3 R/B,775
SL-6 PLAT,776
SL-6 R/B,777
SL-6 DEB,778
COSMOS 28,779
SL-3 R/B,780
SL-3 DEB,781
GEMINI 1,782
SL-5 R/B,783
POLYOT 2,784
ZOND 1,785
OPS 3743,786
OPS 3743 DEB,787
OPS 3743 DEB,788
OPS 3743 DEB,789
OPS 3743 DEB,790
COSMOS 29,791
SL-3 R/B,792
SL-3 DEB,793
SL-3 DEB,794
SL-3 DEB,795
OPS 2921,796
COSMOS 30,797
SL-3 R/B,798
OPS 3592,799
APOLLO MODEL 1,800
OPS 4412 (TRANSIT 9),801
OPS 3483,802
COSMOS 31,803
SL-7 R/B,804
SCOUT X-4 DEB,805
SCOUT X-4 DEB,806
COSMOS 32,807
SL-3 R/B,808
SCOUT X-4 R/B,809
SL-3 DEB,810
OPS 3236 (STARFLASH 1A),811
OPS 4467 A,812
OPS 4467 B,813
OPS 3754,814
THOR AGENA D R/B,815
COSMOS 33,816
SL-3 R/B,817
SL-3 DEB,818
SL-3 DEB,819
OPS 3236 DEB,820
OPS 3754 DEB,821
COSMOS 34,822
SL-3 R/B,823
OPS 3395,824
OPS 3684,825
OPS 4923,826
OPS 4923 DEB,827
OPS 3491,828
ELEKTRON 3,829
ELEKTRON 4,830
ELEKTRON 3 DEB,831
SL-3 R/B,832
COSMOS 35,833
SL-3 R/B,834
SL-3 DEB,835
OPS 3662 (VELA 3),836
OPS 3674 (VELA 4),837
ERS 13,838
SL-3 DEB,839
THOR ABLESTAR DEB,840
THOR ABLESTAR DEB,841
RANGER 7,842
ATLAS AGENA B R/B,843
COSMOS 36,844
SL-7 R/B,845
OPS 3042,846
SCOUT X-3 DEB,847
COSMOS 37,848
SL-3 R/B,849
OPS 3802,850
OPS 3316,851
ATLAS AGENA D R/B,852
COSMOS 38,853
COSMOS 39,854
COSMOS 40,855
SL-8 R/B,856
SL-8 DEB,857
SYNCOM 3,858
SL-8 DEB,859
SL-8 DEB,860
OPS 2739 (STARFLASH 1B),861
DELTA 1 R/B,862
SL-6 R/B(1),863
COSMOS 42,864
SL-6 DEB,865
SL-7 R/B,866
COSMOS 43,867
SL-6 DEB,868
SL-6 R/B(2),869
EXPLORER 20,870
SCOUT X-4 R/B,871
NIMBUS 1,872
SCOUT X-4 DEB,873
SCOUT X-4 DEB,874
SCOUT X-4 DEB,875
COSMOS 44,876
SL-3 R/B,877
THOR AGENA B R/B,878
OGO 1,879
COSMOS 45,880
SL-3 R/B,881
OPS 3497,882
APOLLO MODEL 2,883
OPS 4262,884
COSMOS 46,885
SL-3 R/B,886
ATLAS AGENA D R/B,887
OPS 3497 DEB,888
EXPLORER 21 (IMP-2),889
OPS 3333,890
COSMOS 47,891
SL-4 R/B,892
THOR ABLESTAR R/B,893
SL-4 DEB,894
SL-4 DEB,895
SL-4 DEB,896
OPS 5798 (TRANSIT 5B-4),897
COSMOS 41,898
EXPLORER 22,899
CALSPHERE 1,900
OPS 5798 DEB,901
CALSPHERE 2,902
OPS 5798 DEB,903
VOSKHOD 1,904
SL-4 R/B,905
SL-4 DEB,906
SCOUT X-4 R/B,907
COSMOS 48,908
SL-3 R/B,909
COSMOS 48 DEB,910
OPS 3559,911
OPS 4384,912
COSMOS 49,913
OPS 5063,914
SL-7 R/B,915
OPS 4384 DEB,916
SL-7 DEB,917
OPS 4384 DEB,918
COSMOS 50,919
SL-3 R/B,920
OPS 5434,921
OPS 3062,922
MARINER 3,923
EXPLORER 23,924
OPS 3062 DEB,925
OPS 3062 DEB,926
OPS 3062 DEB,927
SL-3 DEB,928
SL-3 DEB,929
OPS 3360 (ORBIS),930
EXPLORER 24 (ADI-2),931
EXPLORER 25 (INJUN 4),932
SCOUT X-4 R/B,933
SCOUT X-4 DEB,934
SCOUT X-4 DEB,935
SCOUT X-4 DEB,936
SCOUT X-4 DEB,937
MARINER 4,938
SCOUT X-4 DEB,939
SCOUT X-4 DEB,940
SCOUT X-4 DEB,941
ATLAS AGENA D R/B,942
SL-6 R/B,943
SL-6 PLAT,944
ZOND 2,945
OPS 4439,946
COSMOS 51,947
SL-7 R/B,948
TITAN 3A TRANSTAGE R/B,949
SL-7 DEB,950
ATLAS CENTAUR R/B,951
